voca_type,unique_id,day,day_no,word,meaning,english_meaning,pos,theme,theme_ko,priority_score,priority_band,rating,example,translation,paraphrase,paraphrase_translation,question,question_ko,collocation,collocations_json,collocations_ko_json,synonym_used,synonyms_json,phrase,memory_ko,icon,background,original_day,original_no,dataset_version,app_ready,QC2_Status,QC2_Score,QC2_Grade,pattern_recommended,pattern_ko_recommended,QC_Score,QC_Grade,QC_Issues,QC_Status,pattern_candidate_1,pattern_ko_candidate_1,pattern_candidate_2,pattern_ko_candidate_2,pattern_candidate_3,pattern_ko_candidate_3,generation_task,pattern_category,generation_word_sense,generation_context,generation_length_target,generation_structure,QC2_Issue,practice_sentence_ids,practice_sentences_en,practice_sentences_ko,practice_sentence_types,practice_situations,practice_review_words,record_type,practice_id,practice_order,practice_type,practice_situation,practice_sentence_en,practice_sentence_ko,practice_target_words,practice_target_word_meanings,practice_target_patterns,practice_pattern_meanings,practice_opic_level,practice_active,practice_extra_patterns,practice_extra_pattern_meanings,practice_extra_pattern_surfaces,practice_target_word_ko_surfaces,practice_target_pattern_ko_surfaces,practice_extra_pattern_ko_surfaces,practice_target_pattern_ko_segments,practice_extra_pattern_ko_segments,practice_patterns
TOEFL,T_D01_11,1,11,afford,"주다, 제공하다; ~할 여유가 있다","give, offer, provide, grant",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,79,Core,5,I can't afford to ignore my health anymore.,나는 더 이상 내 건강을 무시할 여유가 없다.,I must not ignore my health.,나는 내 건강을 무시하면 안 된다.,Can you afford to ignore your health?,당신은 건강을 무시할 여유가 있나요?,can't afford to,"[""can't afford to"",""afford the cost"",""afford time""]","[""~할 여유가 없다"",""비용을 감당하다"",""시간을 마련하다""]",yes,"[""be able to"",""have resources for""]",,afford = ~할 여유가 있다/없다.,,,1,16,TOEFL_30x56_FINAL,yes,PASS,95,A,I can't afford to ...,~할 여유가 없다,95,A,,PASS,I can't afford to ...,,I'll see ...,,I'll be sure to ...,,create example,,~할 여유가 없다 (어떤 행동을 할 여유가 없다),Health,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_12,1,12,recall,"상기하다, 기억해내다","remember, recollect",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,79,Core,5,I'll see if I can recall that detail.,그 세부사항을 기억해낼 수 있는지 알아볼게.,I'll try to remember that detail.,그 세부사항을 기억하려고 하겠다.,Can you recall the detail?,그 세부사항을 기억하나요?,recall details,"[""recall memories"",""recall details""]","[""기억을 상기하다"",""세부사항을 기억하다""]",yes,"[""remember"",""recollect""]",,recall = 기억해내다.,,,1,43,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll see ...,내가 알아볼게,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"상기하다, 기억해내다",Daily Life,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_13,1,13,dominant,"우세한, 지배적인","prevailing, prominent, supreme, chief, ruling",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,78,Core,4,I'll be sure to study the dominant competitor today.,오늘 우세한 경쟁사를 꼭 조사하겠다.,I'll examine the dominant competitor.,우세한 경쟁사를 조사하겠다.,Which competitor is dominant?,어떤 경쟁자가 우세한가요?,dominant market,"[""dominant position"",""dominant species"",""dominant market""]","[""우세한 위치"",""우세한 종"",""지배적인 시장""]",yes,"[""prevailing"",""leading""]",,dominant = 우세한/지배적인.,,,1,39,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll be sure to ...,반드시 ~할게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"우세한, 지배적인",Business,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_14,1,14,justified,"정당한, 타당한","right, legitimate, just, reasonable",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,78,Core,4,Let's just say his decision was justified.,그의 결정은 정당했다고 치자.,His decision was reasonable.,그의 결정은 합리적이었다.,Was his decision justified?,그의 결정은 정당했나요?,justify the decision,"[""justified in doing"",""morally justified"",""justified belief""]","[""~하는 것이 정당하다"",""도덕적으로 정당한"",""정당한 믿음""]",yes,"[""warranted"",""reasonable""]",,justified = 정당화된.,,,1,19,TOEFL_30x56_FINAL,yes,PASS,95,A,Let's just Say ...,그냥 ~라고 하자,95,A,,PASS,Let's just Say ...,,You can't (just) ...,,(just) can't seem to ...,,create example,,"정당한, 타당한",Travel,7,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_15,1,15,promptly,"신속하게, 즉시","quickly, instantly, straightaway",adv.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,78,Core,4,I'll be sure to respond promptly to your message.,당신의 메시지에 신속하게 답장할게요.,I'll reply quickly to your message.,메시지에 빠르게 답장하겠다.,Will you respond promptly?,신속히 답장할 건가요?,respond promptly,"[""respond promptly"",""act promptly"",""promptly address""]","[""신속하게 대응하다"",""즉시 행동하다"",""신속히 처리하다""]",yes,"[""quickly"",""immediately""]",,"promptly = 즉시, 신속히.",,,1,32,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll be sure to ...,반드시 ~할게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"신속하게, 즉시",Family & Friends,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_16,1,16,accurate,정확한,"precise, correct, exact, true",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,77,Core,4,You might want to ensure accurate measurements before cutting.,자르기 전에 정확한 치수를 확인하는 것이 좋을 거예요.,Make sure the measurements are correct first.,먼저 치수가 정확한지 확인하세요.,Are the measurements accurate?,치수가 정확한가요?,accurate measurements,"[""accurate measurements"",""accurate data""]","[""정확한 치수"",""정확한 데이터""]",exact,"[""exact"",""precise"",""correct""]",,정확한 수치는 실수를 막아준다.,,Daily life: DIY or home projects.,14,32,TOEFL_30x56_FINAL,YES,PASS,95,A,You might want to/wanna ...,~하는 게 좋을 거야,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Suggestion,정확한,Daily Life,9,suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_17,1,17,precise,정확한,"exact, accurate, definite",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,77,Core,4,"I'll tell you what, be precise with the measurements.","이렇게 할게, 치수는 정확하게 재세요.",Make the measurements exact and careful.,치수를 정확하고 신중하게 재세요.,Do you need precise measurements?,정확한 치수가 필요합니까?,precise measurements,"[""precise measurements"",""precise timing""]","[""정확한 치수"",""정확한 타이밍""]",exact,"[""exact"",""accurate"",""definite""]",,정확하면 다음 단계가 더 쉬워진다.,,Shopping & Services: tailoring or fitting.,13,11,TOEFL_30x56_FINAL,YES,PASS,95,A,"I'll tell you what, ...","그럼 이러자, ...",95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Advice,정확하고 세밀한,Shopping & Services,9,advice,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_18,1,18,reliable,신뢰할 수 있는,"dependable, trustworthy, credible",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,77,Core,4,You could at least choose a reliable vendor next time.,다음에는 적어도 신뢰할 수 있는 공급업체를 선택하세요.,Select a trustworthy supplier in the future.,앞으로는 믿을 수 있는 공급업체를 선택하세요.,Is this vendor reliable?,이 공급업체는 신뢰할 수 있나요?,reliable vendor,"[""reliable vendor"",""reliable source"",""reliable service""]","[""신뢰할 수 있는 공급업체"",""신뢰할 수 있는 출처"",""신뢰할 수 있는 서비스""]",trustworthy,"[""dependable"",""trustworthy"",""credible""]",,믿을 수 있는 파트너가 사업을 지킨다.,,Business context: procurement decisions.,9,52,TOEFL_30x56_FINAL,YES,PASS,95,A,You could at least ...,적어도 ~는 할 수 있잖아,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Complaint/Suggestion,신뢰할 수 있는,Business,10,suggestion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_19,1,19,significant,상당한; 중요한,"considerable, substantial, serious; important, essential",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,77,Core,4,I'm convinced that your improvement is significant this semester.,이번 학기에 당신의 향상이 상당하다고 확신해요.,I strongly believe your progress this term is considerable.,이번 학기 당신의 진전이 상당하다고 강하게 믿습니다.,Is the improvement significant?,향상이 상당한가요?,significant improvement,"[""significant improvement"",""significant difference""]","[""상당한 향상"",""눈에 띄는 차이""]",considerable,"[""considerable"",""substantial"",""important""]",,작은 노력이 쌓이면 큰 변화가 된다.,,School & Learning: progress feedback.,16,12,TOEFL_30x56_FINAL,YES,PASS,95,A,I'm convinced (that) ...,나는 ~라고 확신한다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Opinion,상당한,School & Learning,9,opinion,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_20,1,20,genuine,"진짜의, 진실한","true, real, authentic",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,76,Core,5,I'll let you know if it's genuine.,그것이 진짜인지 알려줄게요.,I'll inform you whether it's genuine.,그것이 진짜인지 알려주겠다.,Is it genuine?,그것은 진짜인가요?,genuine article,"[""genuine article"",""genuine interest"",""genuine concern""]","[""진짜 상품"",""진정한 관심"",""진심 어린 염려""]",yes,"[""authentic"",""real""]",,genuine = 진짜의.,,,1,38,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll let you know ...,~을 알려줄게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,"진짜의, 진실한",Daily Life,7,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_21,1,21,investigate,조사하다,"examine, inquire into, look into",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,76,Core,4,I'll see who can investigate the missing luggage.,분실된 수하물을 누가 조사할 수 있는지 알아보겠다.,I'll find someone to investigate the luggage.,수하물을 조사할 사람을 찾겠다.,Who will investigate it?,누가 그것을 조사할 건가요?,investigate the case,"[""investigate the case"",""investigate further"",""investigate allegations""]","[""사건을 조사하다"",""더 조사하다"",""혐의를 조사하다""]",yes,"[""examine"",""look into""]",,investigate = 조사하다.,,,1,10,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll see ...,내가 알아볼게,95,A,,PASS,I'm into ...,,I'll see ...,,I'll be sure to ...,,create example,,조사하다,Travel,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_22,1,22,justify,"옹호하다, 정당화하다","support, prove, give a rational basis for",v.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,75,Core,4,It's a shame that you had to justify yourself.,네가 자신을 변명해야 했다니 안타깝다.,"You had to defend your actions, which is sad.",네가 행동을 옹호해야 했다니 슬프다.,Did you have to justify yourself?,너는 스스로를 정당화해야 했니?,justify the decision,"[""justify the decision"",""can't justify"",""difficult to justify""]","[""결정을 정당화하다"",""정당화할 수 없다"",""정당화하기 어렵다""]",yes,"[""defend"",""vindicate""]",,justify = 정당화하다.,,,17,50,TOEFL_30x56_FINAL,yes,PASS,95,A,It's a shame (that) ...,~라니 안타깝다,95,A,,PASS,I'd kill for/to ...,,I feel sorry for ...,,It's a shame (that) ...,,create example,,"옹호하다, 정당화하다",Family & Friends,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_23,1,23,obvious,분명한,"evident, clear, apparent, conspicuous",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,75,Core,4,I'm not clear why that fact seems so obvious.,그 사실이 왜 그렇게 명백한지 잘 모르겠다.,I don't understand why it's obvious.,왜 그것이 분명한지 이해하지 못하겠다.,Why does it seem obvious?,왜 그것이 분명해 보이나요?,obvious reason,"[""obvious reason"",""obvious choice"",""obvious answer""]","[""명백한 이유"",""명백한 선택"",""명백한 대답""]",yes,"[""clear"",""evident"",""apparent""]",,obvious = 명백한.,,,10,15,TOEFL_30x56_FINAL,yes,PASS,95,A,I'm not clear ...,~을 잘 모르겠다 / 분명하지 않다,95,A,,PASS,I'm not clear ...,,I'll see ...,,I'll be sure to ...,,create example,,분명한,Business,9,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_24,1,24,particular,특정한; 특별한,specific; special,adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,75,Core,5,I'll let you know about that particular issue.,그 특정한 문제에 대해 알려줄게요.,I'll inform you about that specific issue.,그 특정한 문제에 대해 알려주겠다.,Which particular issue?,어떤 특정한 문제인가요?,particular concern,"[""particular concern"",""in particular"",""particular reason""]","[""특정한 관심사"",""특히"",""특정한 이유""]",yes,"[""specific"",""special""]",,particular = 특정한.,,,1,3,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll let you know ...,~을 알려줄게요,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,create example,,특정한; 특별한,Daily Life,8,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_25,1,25,entire,"전체의, 전부의","whole, total, complete",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,74,Core,5,That's exactly what caused the entire system to crash last night.,그게 바로 어젯밤 전체 시스템이 다운된 원인이었어요.,That was precisely the reason the whole system failed.,그것이 바로 전체 시스템이 실패한 정확한 이유였다.,What caused the entire system crash?,전체 시스템 다운의 원인은 무엇이었나요?,entire system,"[""entire system"",""entire team"",""entire process""]","[""전체 시스템"",""전체 팀"",""전체 과정""]",whole,"[""whole"",""total"",""complete""]",,전체를 검토하면 원인을 빨리 찾을 수 있다.,,Technology: system failure narrative.,1,12,TOEFL_30x56_FINAL,YES,PASS,95,A,That's exactly what ...,바로 그게 ...이다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Narrative,"전체의, 전부의",Technology,11,short_narrative,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_26,1,26,potential,잠재적인; 가능성,"possible, prospective, latent; possibility",adj./n.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,73,Core,4,Do you think I should investigate that project's potential?,그 프로젝트의 잠재력을 조사해 봐야 한다고 생각하나요?,Should I look into what that project might achieve?,그 프로젝트가 어떤 가능성이 있는지 조사해야 할까요?,Is there potential in that project?,그 프로젝트에 잠재력이 있나요?,project's potential,"[""project potential"",""potential benefits""]","[""프로젝트의 잠재력"",""잠재적 이점""]",possible,"[""possible"",""prospective"",""latent""]",,잠재력은 가능성을 현실로 바꿀 수 있다.,,Hobbies: evaluating new projects or ideas.,14,10,TOEFL_30x56_FINAL,YES,PASS,95,A,Do you think I should ... ?,내가 ~해야 한다고 생각하니?,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Question,"가능성 있는, 잠재적인",Hobbies,9,question,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_27,1,27,practical,"실용적인, 효과적인","pragmatic, functional; effective",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,73,Core,4,What matters most is choosing practical exercises you can maintain.,가장 중요한 것은 당신이 꾸준히 할 수 있는 실용적인 운동을 선택하는 것입니다.,The key is to pick useful routines you will stick with.,핵심은 당신이 지속할 수 있는 유용한 루틴을 선택하는 것이다.,Are these exercises practical for everyday life?,이 운동들이 일상에 실용적입니까?,practical exercises,"[""practical exercises"",""practical solution""]","[""실용적인 운동"",""실용적인 해결책""]",useful,"[""practical"",""useful"",""functional""]",,실용적인 선택이 장기적으로 더 효과적이다.,,Health context: exercise planning.,22,53,TOEFL_30x56_FINAL,YES,PASS,95,A,What matters (the) most is ...,가장 중요한 것은 ...이다,95,A,,PASS,I'll see ...,,I'll be sure to ...,,I'll let you know ...,,Create a natural example sentence using the selected pattern and sense.,Priority Statement,실용적인,Health,10,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
TOEFL,T_D01_28,1,28,apparent,명백한; 외관상의,"1. clear, evident, obvious / 2. seeming, exterior, superficial",adj.,Everyday Essentials,일상에서 바로 쓰는 핵심 표현,72,Core,4,I'll see why the error became so apparent this morning.,왜 그 오류가 오늘 아침에 그렇게 명백해졌는지 알아보겠다.,I'll find out why the error was apparent.,오류가 왜 명백했는지 알아보겠다.,Why did it become apparent?,왜 그것이 명백해졌나요?,become apparent,"[""apparently obvious"",""become apparent"",""remain apparent""]","[""분명히 명백한"",""명백해지다"",""명백하게 남다""]",yes,"[""obvious"",""evident""]",,apparent = 명백한/외관상의.,,,3,8,TOEFL_30x56_FINAL,yes,PASS,95,A,I'll see ...,내가 알아볼게,95,A,,PASS,I'm not clear ...,,I'll see ...,,I'll be sure to ...,,create example,,명백한; 외관상의,Business,10,statement,,,,,,,,VOCAB,,,,,,,,,,,,,,,,,,,,,
